p10_annual_orec_exceedance,fixed_rec_price,bid_quantity_mwh,eligibility,renewable_technology,project_name,solicitation_name,generation_type,counterparty,developer_name,article_10_94c_case_number,county_province,project_status,contract_duration,zip_code,state_province,max_annual_contract_quantity,new_renewable_capacity_mw,data_through_date,bid_capacity_mw,georeference,permit_process,installed_energy_storage_energy_capacity_mwhac,energy_storage_power_capacity_mwac,second_article_10_or_94c_case_number,year_of_delivery_start_date,redc,nyiso_zone,index_rec_strike_price,interconnection_queue_number,type_of_existing,transmission_capacity_hvdc_,ptid,federal_permitting_mechanism,article_7
,20.44,581510,Non-Tier 1,Land Based Wind,Marble River,2226,,,,,Clinton,Operational,10,12923,NY,581510,215.25,2023-01-20T00:00:00.000,204.49,POINT (-73.9322 44.95524),,,,,2012,North Country,North,,,,,323696,,
,16.98,54093,Non-Tier 1,Land Based Wind,Locust Ridge,2389,,,,,Steuben,Completed,10,19087,PA,54093,26,2023-01-20T00:00:00.000,24.7,POINT (-75.39125 40.0455),,,,,2012,Southern Tier,Central,,,,,PJM,,
,20.49,15396,Non-Tier 1,Biogas - LFG,Hyland LFGE,2226,,,,,Allegany,Completed,10,14709,NY,15396,4.8,2023-01-20T00:00:00.000,2.2,POINT (-78.02061 42.30738),,,,,2011,Western New York,Genesee,,,,,,,
,37,6359,Non-Tier 1,Land Based Wind,Howard*,2554,,,,,Steuben,Operational,10,14823,NY,6359,,2023-01-20T00:00:00.000,2.55,POINT (-77.60504 42.27),,,,,2013,Southern Tier,Central,,,,,323690,,
,28.5,9849,Non-Tier 1,Land Based Wind,Howard (Expansion),2389,,,,,Steuben,Operational,10,14823,NY,9849,4.1,2023-01-20T00:00:00.000,3.9,POINT (-77.60504 42.27),,,,,2013,Southern Tier,Central,,,,,323690,,
,17.5,115184,Non-Tier 1,Land Based Wind,Howard,2226,,,,,Steuben,Completed,10,14823,NY,115184,51.25,2023-01-20T00:00:00.000,46.13,POINT (-77.60504 42.27),,,,,2012,Southern Tier,Central,,,,,323690,,
,2.49,8917,Non-Tier 1,Hydroelectric,Higley Falls*,916,,,,,St Lawrence,Completed,1,13625,NY,10255,,2023-01-20T00:00:00.000,,POINT (-74.94156 44.55449),,,,,2006,North Country,Mohawk Valley,,,,,24057,,
,9.95,10589,Non-Tier 1,Hydroelectric,Higley Falls,1037,,,,,St Lawrence,Completed,10,13625,NY,11648,1.9,2023-01-20T00:00:00.000,1.9,POINT (-74.94156 44.55449),,,,,2008,North Country,Mohawk Valley,,,,,24057,,
,18.5,228200,Non-Tier 1,Land Based Wind,High Sheldon,1851,,,,,Wyoming,Completed,10,14145,NY,228200,112.5,2023-01-20T00:00:00.000,106.9,POINT (-78.44801 42.70145),,,,,2012,Finger Lakes,West,,,,,,,
,20,26410,Non-Tier 1,Hydroelectric,High Falls,1168,,,,,,Completed,10,J0X2L,Qu�bec,26410,14.7,2023-01-20T00:00:00.000,14,,,,,,2009,,,,,,,,,
,24,3847,Non-Tier 1,Land Based Wind,Henkel US Operations Corp - Geneva Facility,2554,,,,,Ontario,Operational,10,14456,NY,3847,3.3,2023-01-20T00:00:00.000,3.14,POINT (-76.98218 42.86642),,,,,2013,Finger Lakes,Central,,,,,,,
